,Ingredients,Quantity
0,Barbecued Chicken,37
1,Red Peppers,253
2,Green Peppers,82
3,Tomatoes,410
4,Red Onions,300
5,Barbecue Sauce,37
6,Chicken,130
7,Artichoke,35
8,Spinach,154
9,Garlic,422
10,Jalapeno Peppers,87
11,Fontina Cheese,50
12,Gouda Cheese,35
13,Mushrooms,148
14,Asiago Cheese,50
15,Alfredo Sauce,14
16,Pesto Sauce,44
17,Corn,52
18,Cilantro,52
19,Chipotle Sauce,52
20,Pineapple,71
21,Thai Sweet Chilli Sauce,35
22,Bacon,67
23,Pepperoni,161
24,Italian Sausage,29
25,Chorizo Sausage,29
26,Sliced Ham,36
27,Mozzarella Cheese,161
28,Capocollo,102
29,Goat Cheese,52
30,Oregano,22
31,Anchovies,21
32,Green Olives,96
33,Kalamata Olives,51
34,Feta Cheese,72
35,Beef Chuck Roast,21
36,Brie Carre Cheese,6
37,Prosciutto,6
38,Caramelized Onions,6
39,Pears,6
40,Thyme,6
41,Â‘Nduja Salami,13
42,Pancetta,13
43,Friggitello Peppers,13
44,Calabrese Salami,29
45,Genoa Salami,21
46,Prosciutto di San Daniele,21
47,Arugula,21
48,Coarse Sicilian Salami,31
49,Luganega Sausage,31
50,Onions,31
51,Soppressata Salami,15
52,Artichokes,88
53,Peperoncini verdi,30
54,Provolone Cheese,22
55,Smoked Gouda Cheese,22
56,Romano Cheese,22
57,Blue Cheese,22
58,Ricotta Cheese,30
59,Gorgonzola Piccante Cheese,30
60,Parmigiano Reggiano Cheese,30
61,Eggplant,15
62,Zucchini,39
63,Sun-dried Tomatoes,28
64,Plum Tomatoes,15
